Link Validation Log
===================

Broken Link: https://www.bls.gov/data/
Broken Link: https://www.bls.gov/bls/api_features.htm
Broken Link: https://www.nfib.com/news/monthly_report/sbet/
Broken Link: https://home.treasury.gov/resource-center/data-chart-center/interest-rates/daily-treasury-rate-archives
Broken Link: https://www.cmegroup.com/markets/interest-rates/cme-fedwatch-tool.html
Broken Link: https://www.eia.gov/opendata/documentation.php
Broken Link: https://home.treasury.gov/policy-issues/financing-the-government/quarterly-refunding
Broken Link: https://www.cbo.gov/data/budget-economic-data
Broken Link: https://api.congress.gov/
Broken Link: https://home.treasury.gov/policy-issues/financial-markets-financial-institutions-and-fiscal-service/debt-limit
Broken Link: https://www.gao.gov/legal/appropriations-law/lapses-in-appropriations
Broken Link: https://www.bls.gov/schedule/
Broken Link: https://tradingeconomics.com/api/calendar.aspx
Broken Link: https://site.financialmodelingprep.com/developer/docs/stable/economics-calendar
Broken Link: https://www.investing.com/economic-calendar/
Broken Link: https://www.macrotrends.net/
Broken Link: https://finance.yahoo.com/
Broken Link: https://data.nasdaq.com/data/CHRIS
Broken Link: https://www.ismworld.org/supply-management-news-and-reports/reports/ism-report-on-business/
Broken Link: https://www.conference-board.org/topics/consumer-confidence
Broken Link: https://www.bloomberg.com/professional/products/bloomberg-terminal/
